prompt;doc_class_question_type;cer
Запиши четыре цифры серии паспорта и через пробел шесть цифр номера паспорта. Пример: 4369 975136.;passport Серия и номер паспорта;0.0
Напиши Фамилия. Пример: Куликов.;passport Фамилия;0.0
Напиши поле Имя в формате с первой заглавной буквой. Следуй строго примеру. Пример: Анна, Сергей.;passport Имя;0.0
Какое Отчество у гражданина в паспорте? Если в ответе два слова, напиши второе. Пример: Сергеевна.;passport Отчество;0.0
Напиши Дата рождения. Укажи только цифры. Пример: 12.12.1975.;passport Дата рождения;0.0
Напиши поле Пол в нижнем регистре. Следуй точно примеру. Пример: муж., жен.;passport Пол;0.0
Напиши Место рождения. Пример: Гор. Москва Московская обл.;passport Место рождения;0.0
Напиши Номер счет-фактуры. Укажи только цифру. Пример: 632.;invoice Номер счет-фактуры;0.0
Напиши Дату счет-фактуры. Выйдай ответ в формате даты. Следуй точно примеру. Пример: 22 января 1990;invoice Дата счет-фактуры;0.0
Напиши кто Продавец. Укажи только название. Пример: РАО «Лимончик»;invoice Продавец;0.0
Напиши кто Покупатель. Укажи только название. Пример: ЗАО «Огурчик»;invoice Покупатель;0.0
