prompt;doc_class_question_type;cer
Напиши поле Серия и поле Номер паспорта. В ответе укажи 4 цифры пробел 6 цифр. Пример: 4254 587326.;passport Серия и номер паспорта;0.0
Напиши поле Фамилия. Пример: Куликов.;passport Фамилия;0.0
Напиши поле Имя. Пример: Арсен.;passport Имя;0.0
Напиши поле Отчество. Пример: Михайлович.;passport Отчество;0.0
Напиши поле Дата рождения. Выйдай ответ в формате даты. Укажи только цифры. Пример: 12.12.1975.;passport Дата рождения;0.0
Напиши поле Пол с маленькой буквы. Пример: муж.;passport Пол;0.0
Напиши поле Место рождения. Пример: Гор. Москва Московсой обл.;passport Место рождения;0.0
Напиши Номер счет-фактуры. Укажи только цифру. Пример: 632.;invoice Номер счет-фактуры;0.0
Напиши Дату счет-фактуры. Выйдай ответ в формате даты. Следуй точно примеру. Пример: 22 января 1990;invoice Дата счет-фактуры;0.0
Напиши кто Продавец. Укажи только название. Пример: ПАО «Лимончик»;invoice Продавец;0.0
Напиши кто Покупатель. Укажи только название. Пример: ИП Жуков;invoice Покупатель;0.0
